cod_mun_completo,cod_mun_ibge,nome_mun,cadunico_tot_pes,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_pes_pob,cadunico_tot_pes_ext_pob,cadunico_tot_pes_pob_e_ext_pob,cadunico_tot_fam,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_fam_ext_pob,cadunico_tot_fam_pob_e_ext_pob,mes,ano
3300159,330015,Aperibé,5603.0,5112.0,1571.0,1698.0,3269.0,1978,1720.0,471.0,594.0,1065.0,02,2014
3300159,330015,Aperibé,5589.0,5113.0,1611.0,1685.0,3296.0,1965,1715.0,482.0,588.0,1070.0,01,2014
3300159,330015,Aperibé,4759.0,4274.0,886.0,1693.0,2579.0,1731,1474.0,262.0,608.0,870.0,12,2015
3300159,330015,Aperibé,4724.0,4249.0,863.0,1693.0,2556.0,1720,1467.0,254.0,610.0,864.0,11,2015
3300159,330015,Aperibé,4720.0,4245.0,859.0,1696.0,2555.0,1716,1464.0,252.0,611.0,863.0,10,2015
3300159,330015,Aperibé,4711.0,4245.0,865.0,1708.0,2573.0,1711,1462.0,254.0,614.0,868.0,09,2015
3300159,330015,Aperibé,4685.0,4231.0,869.0,1723.0,2592.0,1701,1457.0,252.0,621.0,873.0,08,2015
3300159,330015,Aperibé,4671.0,4235.0,836.0,1749.0,2585.0,1695,1459.0,242.0,630.0,872.0,07,2015
3300159,330015,Aperibé,5082.0,4591.0,989.0,1797.0,2786.0,1839,1570.0,285.0,648.0,933.0,06,2015
3300159,330015,Aperibé,5074.0,4587.0,987.0,1810.0,2797.0,1832,1566.0,283.0,652.0,935.0,05,2015
3300159,330015,Aperibé,5054.0,4577.0,985.0,1800.0,2785.0,1817,1555.0,283.0,641.0,924.0,04,2015
3300159,330015,Aperibé,5031.0,4563.0,997.0,1795.0,2792.0,1808,1549.0,284.0,638.0,922.0,03,2015
3300159,330015,Aperibé,5033.0,4567.0,1043.0,1796.0,2839.0,1800,1543.0,291.0,637.0,928.0,02,2015
3300159,330015,Aperibé,5023.0,4569.0,1021.0,1811.0,2832.0,1794,1543.0,283.0,642.0,925.0,01,2015
3300159,330015,Aperibé,4117.0,3584.0,691.0,1657.0,2348.0,1471,1200.0,197.0,581.0,778.0,12,2016
3300159,330015,Aperibé,4660.0,4065.0,753.0,1801.0,2554.0,1693,1385.0,219.0,640.0,859.0,11,2016
3300159,330015,Aperibé,4621.0,4043.0,754.0,1803.0,2557.0,1677,1377.0,220.0,639.0,859.0,10,2016
3300159,330015,Aperibé,4635.0,4068.0,784.0,1804.0,2588.0,1675,1381.0,228.0,636.0,864.0,09,2016
3300159,330015,Aperibé,4631.0,4180.0,778.0,1811.0,2589.0,1673,1429.0,226.0,639.0,865.0,08,2016
3300159,330015,Aperibé,4631.0,4188.0,793.0,1907.0,2700.0,1673,1433.0,228.0,668.0,896.0,07,2016
3300159,330015,Aperibé,4594.0,4154.0,798.0,1877.0,2675.0,1660,1422.0,230.0,656.0,886.0,06,2016
